iter	Passed	Remaining
414	2825	72073
415	2830	72004
416	2835	71971
417	2840	71907
418	2844	71827
419	2850	71805
420	2855	71756
421	2861	71716
422	2865	71641
423	2870	71602
424	2877	71600
425	2881	71530
426	2885	71443
427	2890	71402
428	2894	71326
429	2898	71258
430	2903	71202
431	2907	71131
432	2914	71137
433	2922	71148
434	2926	71073
435	2933	71068
436	2937	70996
437	2948	71091
438	2954	71084
439	2960	71050
440	2965	71013
441	2972	71003
442	2976	70941
443	2981	70884
444	2985	70815
445	2990	70757
446	2994	70684
447	3002	70714
448	3006	70648
449	3013	70652
450	3019	70616
451	3026	70625
452	3031	70570
453	3038	70574
454	3045	70571
455	3049	70506
456	3054	70463
457	3059	70424
458	3066	70427
459	3075	70463
460	3080	70429
461	3084	70363
462	3089	70321
463	3095	70280
464	3098	70199
465	3103	70154
466	3110	70160
467	3115	70116
468	3124	70153
469	3128	70097
470	3133	70055
471	3137	69984
472	3140	69899
473	3147	69899
474	3150	69818
475	3154	69735
476	3158	69682
477	3163	69633
478	3170	69629
479	3176	69613
480	3179	69541
481	3185	69519
482	3189	69452
483	3193	69387
484	3197	69313
485	3203	69306
486	3209	69280
487	3216	69291
488	3223	69282
489	3229	69276
490	3237	69283
491	3244	69293
492	3248	69234
493	3256	69252
494	3262	69245
495	3269	69247
496	3274	69193
497	3280	69180
498	3286	69152
499	3289	69088
500	3296	69079
501	3302	69068
502	3310	69077
503	3314	69035
504	3321	69033
505	3326	68984
506	3330	68938
507	3336	68909
508	3342	68895
509	3345	68818
510	3349	68753
511	3353	68695
512	3358	68662
513	3362	68597
514	3372	68671
515	3376	68612
516	3380	68547
517	3385	68506
518	3393	68529
519	3401	68551
520	3405	68500
521	3408	68424
522	3412	68366
523	3416	68311
524	3420	68253
525	3427	68255
526	3434	68257
527	3440	68241
528	3446	68221
529	3453	68215
530	3459	68199
531	3463	68158
532	3467	68092
533	3470	68028
534	3476	67998
535	3482	67989
536	3487	67943
537	3491	67894
538	3497	67877
539	3501	67827
540	3505	67770
541	3512	67772
542	3516	67727
543	3520	67667
544	3525	67628
545	3529	67574
546	3533	67518
547	3536	67449
548	3540	67389
549	3544	67343
550	3548	67286
551	3552	67240
552	3556	67180
553	3559	67124
554	3566	67117
555	3572	67108
556	3575	67044
557	3581	67014
558	3586	66988
559	3592	66974
560	3597	66941
561	3601	66889
562	3605	66844
563	3611	66833
564	3618	66824
565	3624	66817
566	3629	66775
567	3634	66744
568	3637	66691
569	3641	66641
570	3648	66646
571	3655	66643
572	3660	66608
573	3664	66557
574	3668	66507
575	3672	66453
576	3675	66389
577	3679	66351
578	3683	66292
579	3687	66245
580	3691	66196
581	3694	66135
582	3699	66106
583	3703	66047
584	3706	65994
585	3710	65931
586	3714	65887
587	3717	65821
588	3720	65767
589	3724	65712
590	3732	65734
591	3736	65696
592	3740	65644
593	3744	65603
594	3747	65538
595	3753	65517
596	3757	65474
597	3761	65433
598	3764	65368
599	3769	65331
600	3772	65272
601	3776	65229
602	3780	65179
603	3787	65183
604	3790	65127
605	3796	65122
606	3800	65071
607	3803	65012
608	3809	64992
609	3815	64984
610	3818	64929
611	3821	64872
612	3827	64850
613	3830	64800
614	3834	64747
615	3837	64693
616	3841	64647
617	3845	64600
618	3848	64543
619	3854	64528
620	3857	64469
621	3861	64420
622	3864	64362
623	3867	64305
624	3871	64272
625	3880	64301
626	3883	64254
627	3886	64196
628	3890	64154
629	3895	64127
630	3901	64118
631	3907	64095
632	3910	64042
633	3914	63994
634	3965	64730
635	3971	64721
636	3976	64696
637	3981	64669
638	3986	64634
639	3990	64595
640	3994	64559
641	3999	64519
642	4005	64511
643	4008	64461
644	4013	64432
645	4018	64405
646	4022	64361
647	4026	64319
648	4034	64348
649	4039	64318
650	4043	64275
651	4047	64242
652	4052	64211
653	4058	64211
654	4063	64183
655	4070	64185
656	4077	64194
657	4083	64180
658	4089	64173
659	4094	64147
660	4098	64106
661	4102	64071
662	4106	64024
663	4111	63997
664	4116	63973
665	4120	63929
666	4125	63904
667	4128	63861
668	4134	63847
669	4138	63811
670	4144	63791
671	4147	63746
672	4151	63706
673	4155	63667
674	4159	63619
675	4165	63620
676	4169	63574
677	4174	63553
678	4178	63507
679	4185	63524
680	4191	63514
681	4197	63496
682	4200	63447
683	4203	63399
684	4208	63379
685	4213	63343
686	4218	63326
687	4224	63321
688	4234	63372
689	4241	63372
690	4244	63329
691	4248	63291
692	4253	63255
693	4259	63250
694	4266	63259
695	4275	63298
696	4282	63301
697	4289	63304
698	4295	63295
699	4299	63268
700	4305	63262
701	4309	63217
702	4314	63189
703	4324	63248
704	4330	63230
705	4334	63200
706	4338	63162
707	4344	63151
708	4348	63110
709	4352	63087
710	4356	63040
711	4359	62995
712	4364	62974
713	4368	62933
714	4375	62935
715	4380	62913
716	4384	62876
717	4388	62850
718	4392	62814
719	4397	62788
720	4402	62768
721	4409	62768
722	4414	62751
723	4418	62720
724	4422	62680
725	4427	62652
726	4432	62628
727	4435	62583
728	4442	62589
729	4446	62561
730	4453	62558
731	4456	62516
732	4462	62511
733	4468	62494
734	4476	62513
735	4480	62486
736	4485	62463
737	4489	62426
738	4492	62380
739	4496	62341
740	4499	62299
741	4503	62255
742	4506	62211
743	4511	62185
744	4515	62157
745	4519	62128
746	4527	62136
747	4532	62123
748	4537	62098
749	4541	62062
750	4544	62022
751	4549	61992
752	4552	61950
753	4556	61912
754	4563	61929
755	4567	61892
756	4571	61860
757	4576	61834
758	4580	61809
759	4586	61790
760	4589	61752
761	4592	61709
762	4598	61692
763	4601	61653
764	4608	61652
765	4611	61617
766	4616	61589
767	4621	61575
768	4625	61541
769	4629	61506
770	4633	61472
771	4639	61464
772	4642	61424
773	4645	61379
774	4649	61337
775	4653	61311
776	4656	61271
777	4660	61238
778	4664	61197
779	4667	61155
780	4670	61115
781	4674	61078
782	4677	61035
783	4680	60994
784	4684	60954
785	4688	60929
786	4693	60905
787	4696	60869
788	4702	60862
789	4707	60843
790	4711	60808
791	4716	60786
792	4720	60755
793	4723	60714
794	4728	60691
795	4733	60674
796	4737	60644
797	4740	60600
798	4743	60559
799	4747	60536
800	4751	60501
801	4755	60464
802	4758	60424
803	4764	60425
804	4768	60386
805	4771	60349
806	4776	60326
807	4780	60306
808	4784	60275
809	4788	60235
810	4791	60194
811	4794	60154
812	4797	60111
813	4800	60071
814	4804	60036
815	4811	60045
816	4814	60006
817	4818	59978
818	4822	59944
819	4827	59926
820	4830	59887
821	4833	59849
822	4837	59813
823	4840	59773
824	4843	59736
825	4847	59701
826	4850	59665
827	4854	59631
828	4859	59619
829	4862	59586
830	4866	59555
831	4871	59529
832	4874	59493
833	4877	59459
834	4884	59465
835	4887	59425
836	4891	59389
837	4894	59356
838	4897	59316
839	4901	59279
840	4907	59282
841	4913	59276
842	4916	59240
843	4920	59205
844	4923	59174
845	4927	59139
846	4930	59101
847	4935	59088
848	4938	59051
849	4950	59110
850	4959	59149
851	4964	59132
852	4972	59149
853	4979	59164
854	4988	59185
855	4993	59170
856	4996	59141
857	5001	59118
858	5005	59091
859	5009	59067
860	5013	59043
861	5018	59018
862	5022	58990
863	5025	58961
864	5029	58932
865	5034	58912
866	5038	58888
867	5041	58852
868	5044	58815
869	5050	58805
870	5053	58770
871	5057	58746
872	5061	58713
873	5066	58697
874	5069	58661
875	5073	58631
876	5077	58613
877	5081	58583
878	5088	58585
879	5091	58553
880	5095	58528
881	5100	58510
882	5106	58512
883	5110	58487
884	5113	58449
885	5118	58429
886	5121	58394
887	5125	58371
888	5129	58336
889	5132	58299
890	5137	58291
891	5141	58258
892	5146	58246
893	5151	58231
894	5154	58197
895	5158	58174
896	5164	58166
897	5167	58129
898	5170	58094
899	5174	58069
900	5177	58035
901	5181	58004
902	5184	57974
903	5191	57974
904	5194	57944
905	5200	57935
906	5203	57905
907	5208	57894
908	5213	57880
909	5217	57855
910	5224	57862
911	5228	57831
912	5232	57808
913	5237	57792
914	5243	57788
915	5246	57762
916	5250	57735
917	5257	57744
918	5262	57728
919	5268	57726
920	5276	57740
921	5281	57727
922	5284	57695
923	5288	57670
924	5293	57657
925	5297	57627
926	5302	57618
927	5305	57585
928	5308	57550
929	5313	57539
930	5320	57544
931	5325	57533
932	5329	57500
933	5332	57469
934	5335	57436
935	5341	57437
936	5345	57413
937	5349	57387
938	5352	57353
939	5360	57364
940	5364	57341
941	5367	57314
942	5371	57289
943	5375	57264
944	5378	57231
945	5382	57204
946	5385	57172
947	5389	57142
948	5393	57128
949	5400	57131
950	5404	57109
951	5408	57083
952	5411	57053
953	5416	57038
954	5420	57009
955	5423	56980
956	5426	56947
957	5429	56917
958	5433	56885
959	5436	56855
960	5439	56824
961	5446	56826
962	5449	56797
963	5454	56789
964	5460	56779
965	5463	56750
966	5469	56748
967	5472	56719
968	5477	56704
969	5481	56683
970	5485	56661
971	5491	56654
972	5496	56638
973	5502	56644
974	5506	56619
975	5510	56600
976	5514	56572
977	5517	56542
978	5520	56511
979	5526	56509
980	5531	56489
981	5534	56461
982	5538	56433
983	5541	56405
984	5546	56395
985	5550	56370
986	5555	56362
987	5559	56342
988	5564	56328
989	5571	56337
990	5579	56353
991	5583	56334
992	5590	56342
993	5594	56318
994	5598	56292
995	5601	56264
996	5605	56244
997	5610	56230
998	5616	56223
999	5624	56243
1000	5628	56226
1001	5634	56223
1002	5641	56225
1003	5646	56220
1004	5651	56201
1005	5655	56187
1006	5660	56168
1007	5664	56154
1008	5668	56131
1009	5673	56115
1010	5677	56098
1011	5681	56070
1012	5684	56045
1013	5687	56016
1014	5691	55992
1015	5697	55984
1016	5701	55967
1017	5705	55944
1018	5710	55931
1019	5718	55950
1020	5725	55959
1021	5730	55945
1022	5733	55917
1023	5737	55892
1024	5740	55868
1025	5745	55852
1026	5750	55839
1027	5753	55809
1028	5757	55788
1029	5763	55790
1030	5768	55777
1031	5771	55748
1032	5775	55720
1033	5778	55692
1034	5781	55665
1035	5784	55638
1036	5788	55610
1037	5791	55579
1038	5797	55576
1039	5800	55552
1040	5805	55542
1041	5810	55528
1042	5813	55502
1043	5817	55476
1044	5823	55471
1045	5830	55481
1046	5834	55465
1047	5841	55468
1048	5848	55475
1049	5852	55458
1050	5858	55460
1051	5862	55441
1052	5865	55412
1053	5870	55396
1054	5874	55371
1055	5878	55359
1056	5883	55345
1057	5887	55322
1058	5892	55309
1059	5896	55293
1060	5902	55290
1061	5906	55273
1062	5909	55246
1063	5913	55220
1064	5933	55356
1065	5938	55340
1066	5942	55316
1067	5945	55290
1068	5948	55261
1069	5951	55232
1070	5959	55250
1071	5964	55241
1072	5968	55214
1073	5975	55224
1074	5981	55228
1075	5986	55212
1076	5989	55187
1077	5995	55184
1078	6000	55171
1079	6004	55153
1080	6008	55128
1081	6011	55101
1082	6015	55086
1083	6018	55058
1084	6022	55031
1085	6027	55027
1086	6030	55000
1087	6035	54986
1088	6041	54984
1089	6046	54969
1090	6049	54947
1091	6054	54934
1092	6059	54921
1093	6062	54897
1094	6066	54874
1095	6070	54856
1096	6077	54864
1097	6083	54865
1098	6089	54862
1099	6095	54859
1100	6099	54839
1101	6103	54824
1102	6107	54805
1103	6111	54784
1104	6115	54760
1105	6118	54735
1106	6122	54713
1107	6126	54698
1108	6129	54671
1109	6133	54646
1110	6136	54620
1111	6141	54607
1112	6144	54583
1113	6147	54558
1114	6151	54535
1115	6155	54513
1116	6158	54489
1117	6161	54463
1118	6167	54457
1119	6172	54448
1120	6176	54435
1121	6182	54429
1122	6185	54404
1123	6190	54388
1124	6193	54363
1125	6199	54362
1126	6202	54340
1127	6208	54337
1128	6212	54314
1129	6217	54308
1130	6220	54283
1131	6224	54264
1132	6230	54259
1133	6236	54260
1134	6241	54249
1135	6246	54241
1136	6250	54216
1137	6254	54206
1138	6258	54179
1139	6262	54163
1140	6265	54138
1141	6268	54112
1142	6271	54086
1143	6277	54084
1144	6282	54069
1145	6286	54053
1146	6289	54030
1147	6294	54022
1148	6300	54013
1149	6303	53990
1150	6310	53995
1151	6315	53985
1152	6319	53968
1153	6322	53945
1154	6326	53922
1155	6329	53898
1156	6332	53874
1157	6335	53850
1158	6342	53853
1159	6349	53864
1160	6354	53853
1161	6377	53992
1162	6410	54222
1163	6415	54214
1164	6422	54219
1165	6428	54215
1166	6433	54209
1167	6443	54244
1168	6450	54245
1169	6455	54236
1170	6459	54222
1171	6464	54205
1172	6468	54189
1173	6478	54223
1174	6488	54255
1175	6494	54251
1176	6499	54240
1177	6504	54233
1178	6508	54214
1179	6513	54202
1180	6517	54189
1181	6523	54186
1182	6527	54169
1183	6533	54163
1184	6538	54152
1185	6543	54142
1186	6548	54139
1187	6555	54146
1188	6560	54134
1189	6565	54121
1190	6568	54099
1191	6571	54074
1192	6574	54049
1193	6578	54025
1194	6584	54022
1195	6590	54023
1196	6593	54001
1197	6599	53993
1198	6604	53986
1199	6607	53962
1200	6612	53949
1201	6615	53926
1202	6619	53904
1203	6623	53892
1204	6630	53900
1205	6634	53877
1206	6639	53865
1207	6644	53862
1208	6648	53844
1209	6652	53828
1210	6656	53807
1211	6660	53790
1212	6665	53781
1213	6669	53765
1214	6674	53752
1215	6677	53730
1216	6682	53720
1217	6688	53717
1218	6693	53704
1219	6697	53690
1220	6702	53677
1221	6705	53655
1222	6712	53664
1223	6718	53662
1224	6726	53673
1225	6730	53659
1226	6735	53648
1227	6741	53642
1228	6744	53622
1229	6747	53599
1230	6753	53591
1231	6758	53586
1232	6764	53581
1233	6769	53571
1234	6773	53557
1235	6778	53544
1236	6785	53553
1237	6791	53550
1238	6795	53535
1239	6800	53524
1240	6804	53509
1241	6807	53487
1242	6811	53470
1243	6816	53458
1244	6820	53437
1245	6826	53435
1246	6829	53418
1247	6835	53413
1248	6840	53407
1249	6846	53404
1250	6852	53405
1251	6857	53394
1252	6863	53389
1253	6870	53399
1254	6875	53387
1255	6880	53381
1256	6885	53370
1257	6890	53360
1258	6894	53345
1259	6898	53325
1260	6922	53463
1261	6927	53454
1262	6932	53445
1263	6937	53433
1264	6943	53433
1265	6947	53416
1266	6951	53399
1267	6955	53380
1268	6959	53367
1269	6965	53364
1270	6970	53353
1271	6975	53343
1272	6980	53336
1273	6986	53333
1274	6990	53322
1275	6994	53304
1276	6999	53293
1277	7005	53290
1278	7011	53287
1279	7014	53269
1280	7021	53268
1281	7026	53259
1282	7030	53245
1283	7035	53241
1284	7040	53230
1285	7046	53226
1286	7051	53217
1287	7055	53204
1288	7063	53210
1289	7066	53190
1290	7074	53202
1291	7079	53197
1292	7085	53193
1293	7089	53179
1294	7094	53165
1295	7101	53174
1296	7105	53156
1297	7108	53135
1298	7114	53127
1299	7118	53117
1300	7124	53111
1301	7128	53094
1302	7134	53093
1303	7140	53093
1304	7146	53092
1305	7150	53079
1306	7155	53065
1307	7160	53057
1308	7164	53040
1309	7169	53032
1310	7174	53019
1311	7177	53002
1312	7182	52990
1313	7187	52979
1314	7191	52968
1315	7195	52946
1316	7199	52936
1317	7203	52917
1318	7208	52909
1319	7212	52889
1320	7216	52873
1321	7222	52873
1322	7228	52872
1323	7233	52865
1324	7239	52864
1325	7245	52857
1326	7252	52867
1327	7258	52863
1328	7262	52849
1329	7268	52844
1330	7272	52829
1331	7275	52808
1332	7279	52789
1333	7283	52775
1334	7286	52753
1335	7291	52744
1336	7296	52735
1337	7300	52716
1338	7304	52704
1339	7308	52689
1340	7312	52671
1341	7318	52670
1342	7321	52648
1343	7324	52626
1344	7329	52612
1345	7332	52591
1346	7337	52580
1347	7341	52568
1348	7345	52552
1349	7350	52540
1350	7354	52526
1351	7358	52512
1352	7361	52491
1353	7365	52472
1354	7372	52474
1355	7375	52454
1356	7380	52448
1357	7384	52430
1358	7387	52411
1359	7391	52394
1360	7395	52375
1361	7401	52375
1362	7406	52368
1363	7413	52369
1364	7416	52353
1365	7422	52345
1366	7425	52329
1367	7429	52311
1368	7435	52306
1369	7440	52303
1370	7445	52289
1371	7448	52268
1372	7452	52256
1373	7455	52234
1374	7459	52213
1375	7464	52211
1376	7471	52210
1377	7475	52196
1378	7482	52200
1379	7487	52197
1380	7493	52195
1381	7498	52183
1382	7503	52174
1383	7508	52167
1384	7513	52157
1385	7517	52147
1386	7523	52143
1387	7528	52133
1388	7533	52125
1389	7536	52107
1390	7544	52113
1391	7547	52096
1392	7553	52093
1393	7556	52071
1394	7563	52076
1395	7568	52068
1396	7571	52049
1397	7578	52052
1398	7582	52035
1399	7586	52018
1400	7590	52008
1401	7595	52000
1402	7599	51984
1403	7604	51978
1404	7612	51985
1405	7619	51995
1406	7625	51991
1407	7629	51975
1408	7633	51962
1409	7637	51947
1410	7641	51928
1411	7645	51915
1412	7649	51902
1413	7653	51882
1414	7657	51870
1415	7661	51852
1416	7664	51835
1417	7667	51814
1418	7671	51796
1419	7674	51778
1420	7678	51761
1421	7681	51740
1422	7685	51722
1423	7688	51703
1424	7693	51692
1425	7697	51682
1426	7701	51663
1427	7705	51647
1428	7709	51637
1429	7714	51626
1430	7718	51611
1431	7721	51591
1432	7725	51580
1433	7729	51563
1434	7733	51550
1435	7738	51541
1436	7743	51534
1437	7747	51518
1438	7754	51519
1439	7758	51508
1440	7765	51511
1441	7770	51506
1442	7775	51497
1443	7780	51488
1444	7786	51486
1445	7790	51474
1446	7794	51457
1447	7797	51439
1448	7801	51421
1449	7804	51405
1450	7809	51392
1451	7813	51381
1452	7819	51378
1453	7825	51375
1454	7831	51376
1455	7838	51382
1456	7845	51382
1457	7848	51365
1458	7855	51369
1459	7861	51369
1460	7868	51372
1461	7873	51363
1462	7879	51365
1463	7887	51377
1464	7910	51488
1465	7914	51473
1466	7920	51471
1467	7926	51465
1468	7930	51454
1469	7935	51443
1470	7939	51431
1471	7943	51415
1472	7946	51396
1473	7954	51408
1474	7961	51414
1475	7965	51397
1476	7969	51382
1477	7973	51367
1478	7979	51367
1479	7983	51353
1480	7989	51351
1481	7993	51339
1482	7997	51321
1483	8000	51304
1484	8004	51288
1485	8008	51272
1486	8013	51263
1487	8016	51248
1488	8020	51233
1489	8024	51218
1490	8029	51207
1491	8033	51194
1492	8039	51191
1493	8045	51191
1494	8049	51177
1495	8054	51167
1496	8057	51149
1497	8060	51130
1498	8064	51116
1499	8072	51125
1500	8078	51124
1501	8082	51111
1502	8086	51095
1503	8091	51088
1504	8097	51084
1505	8104	51092
1506	8109	51085
1507	8114	51075
1508	8121	51078
1509	8129	51089
1510	8136	51097
1511	8140	51084
1512	8144	51068
1513	8150	51066
1514	8156	51066
1515	8160	51049
1516	8165	51044
1517	8172	51050
1518	8177	51039
1519	8181	51026
1520	8185	51012
1521	8190	51003
1522	8196	51001
1523	8199	50985
1524	8204	50972
1525	8210	50972
1526	8214	50957
1527	8219	50949
1528	8222	50934
1529	8229	50934
1530	8233	50922
1531	8238	50912
1532	8245	50916
1533	8251	50918
1534	8256	50912
1535	8262	50908
1536	8268	50905
1537	8272	50896
1538	8278	50891
1539	8286	50905
1540	8293	50904
1541	8298	50902
1542	8303	50891
1543	8308	50881
1544	8313	50877
1545	8318	50869
1546	8324	50866
1547	8328	50853
1548	8333	50843
1549	8336	50827
1550	8340	50811
1551	8346	50810
1552	8350	50797
1553	8356	50792
1554	8361	50785
1555	8364	50767
1556	8368	50756
1557	8372	50739
1558	8378	50737
1559	8382	50722
1560	8386	50712
1561	8390	50696
1562	8395	50692
1563	8399	50676
1564	8403	50662
1565	8408	50655
1566	8411	50637
1567	8416	50629
1568	8420	50615
1569	8424	50600
1570	8429	50595
1571	8433	50577
1572	8436	50559
1573	8440	50545
1574	8443	50529
1575	8447	50511
1576	8450	50493
1577	8457	50500
1578	8461	50484
1579	8468	50487
1580	8474	50485
1581	8479	50480
1582	8483	50467
1583	8488	50457
1584	8492	50447
1585	8498	50446
1586	8504	50444
1587	8510	50442
1588	8516	50439
1589	8521	50429
1590	8525	50419
1591	8530	50412
1592	8533	50393
1593	8539	50389
1594	8543	50375
1595	8548	50367
1596	8551	50349
1597	8554	50334
1598	8559	50323
1599	8564	50317
1600	8570	50313
1601	8575	50308
1602	8582	50313
1603	8588	50309
1604	8594	50308
1605	8597	50291
1606	8601	50273
1607	8606	50270
1608	8612	50268
1609	8616	50253
1610	8619	50236
1611	8622	50218
1612	8628	50213
1613	8633	50205
1614	8638	50198
1615	8642	50186
1616	8646	50174
1617	8650	50161
1618	8656	50157
1619	8659	50140
1620	8664	50129
1621	8669	50125
1622	8674	50118
1623	8677	50099
1624	8683	50098
1625	8687	50082
1626	8690	50065
1627	8693	50047
1628	8696	50029
1629	8699	50011
1630	8705	50008
1631	8710	49998
1632	8714	49987
1633	8718	49975
1634	8723	49964
1635	8728	49959
1636	8732	49945
1637	8736	49936
1638	8742	49933
1639	8746	49919
1640	8752	49915
1641	8755	49897
1642	8757	49876
1643	8760	49858
1644	8765	49847
1645	8770	49840
1646	8777	49846
1647	8783	49843
1648	8787	49832
1649	8791	49820
1650	8796	49811
